properties/bounds_imcoords,properties/image_id,properties/type_id,properties/type_name
"2139.6959394721057,1337.1131575179877,2172.792982417755,1324.2586426330968,2208.5488878310894,1416.3208283805072,2175.45184488544,1429.1753432653982",5.png,4,maritime vessels
"2295.7030505227035,1340.5519676724853,2323.782579938848,1327.8670052703344,2355.9346167132003,1399.0389988303086,2327.855087297056,1411.7239612324595",5.png,4,maritime vessels
"2237.254746766727,1335.5530995697002,2262.646355303053,1324.0824087742826,2290.9493315884697,1386.734092711166,2265.5577230521435,1398.2047835065837",5.png,4,maritime vessels
"2257.634747425279,1399.769328384433,2285.0559359375115,1387.381772305948,2313.3589122244093,1450.03345624611,2285.9377237121766,1462.421012324595",5.png,4,maritime vessels
"910.9138333863268,2096.139661353963,918.9084694141131,2117.1003719801292,819.9370003024885,2154.8491337847504,811.9423642747022,2133.8884231585844",5.png,4,maritime vessels
"872.964630617224,2128.5329779926924,882.4019373745014,2148.8849517643685,803.5500672175417,2185.448937911593,794.1127604602643,2165.096964139917",5.png,4,maritime vessels
"872.3730485963883,2087.418027253555,881.8103553536657,2107.770001025231,802.9584851967061,2144.3339871724556,793.5211784394287,2123.9820134007796",5.png,4,maritime vessels
"367.42219240221937,1315.5737181602344,405.7039813262172,1276.7527491082758,631.4485805121486,1499.3620066258263,593.1667915881508,1538.182975677785",6.png,1,container
"393.8420212940411,1273.1661028478313,433.7752783252066,1231.3609743923764,647.2014455896376,1435.2307461030039,607.2681885584722,1477.0358745584588",6.png,1,container
"1233.727298795182,648.6403703968916,1250.3816548781417,634.039310344946,1309.6052740792784,701.5913400734936,1292.9509179963186,716.1924001254392",6.png,4,maritime vessels
"1250.924650543102,638.5815419630852,1267.5790066260618,623.9804819111396,1326.8026258271984,691.5325116396872,1310.1482697442386,706.1335716916328",6.png,4,maritime vessels
"1088.2592879913755,730.6399923825475,1101.467012860251,750.5105427438235,1008.8215538983967,812.09090715605,995.6138290295212,792.2203567947739",6.png,4,maritime vessels
"940.6197172158381,749.8862433765995,959.5314460048944,735.3387596902206,1015.2505571309239,807.7736041416641,996.3388283418676,822.321087828043",6.png,4,maritime vessels
"194.21416849436966,1402.476957027013,206.04800458312067,1422.537524085391,99.25221385923331,1485.5369337589689,87.4183777704823,1465.476366700591",6.png,4,maritime vessels
"152.07417564933414,1373.0919431174957,159.07009857062303,1392.8566484248324,76.73578879403365,1421.9997333339065,69.73986587274476,1402.2350280265698",6.png,4,maritime vessels
"727.5860834699209,1054.541806160865,740.5773581842756,1069.1428559058388,665.6202314050448,1135.8359117337534,652.6289566906902,1121.2348619887796",6.png,4,maritime vessels
"739.7700393898725,1065.500684790309,750.0521878304633,1077.0569149653497,688.6240422419702,1131.712568392474,678.3418938013795,1120.1563382174331",6.png,4,maritime vessels
"1202.3451980087357,1515.1997082508542,1213.0024685110589,1468.9056825379278,1397.5577241983392,1511.3918403562484,1386.900453696016,1557.6858660691748",6.png,1,container
"2574.872193429662,1676.2082297277111,2606.900000613315,1683.5992621546504,2583.055560939819,1786.9251674072702,2551.0277537561656,1779.534134980331",7.png,4,maritime vessels
"1893.0299833921829,1456.6043238413024,1901.5487058183899,1507.5948821927313,1476.3970496501813,1578.6227168553357,1467.8783272239743,1527.6321585039068",8.png,1,container
"1612.749662090786,1367.2500525173016,1618.390025408084,1399.8388183486395,1422.659629706137,1433.7152329913772,1417.0192663888388,1401.1264671600393",8.png,1,container
"504.21104937205183,1632.8955240158211,564.683188013345,1617.1201835020395,629.5709848860463,1865.8567382018264,569.0988462447531,1881.632078715608",8.png,1,container
"421.0654810900566,1649.0670673640716,473.00665274483833,1635.5171964987562,527.9590780451048,1846.1681601676455,476.017906390323,1859.7180310329609",8.png,1,container
"366.3866070107524,1652.9175428043138,420.1183080892835,1638.9005773067556,486.1654257529026,1892.0811950387713,432.4337246743715,1906.0981605363295",8.png,1,container
"2069.46805600918,2216.4256582294565,2101.6801829009873,2273.639742658965,1795.638758136589,2445.94426010355,1763.426631244782,2388.730175674041",9.png,1,container
"1335.2135855613838,2511.159491908067,1368.5728111436201,2558.550755632269,1138.3043451572134,2720.6392313905817,1104.945119574977,2673.2479676663797",10.png,1,container
"1084.3414429414008,1612.8137512093074,1104.9856249092259,1663.7446871714799,840.325187932918,1771.0212984766601,819.6810059650929,1720.0903625144877",10.png,1,container
"2876.968628958251,2493.3362072022296,2920.423622570215,2536.368737326301,2722.8382986429847,2735.8938167097426,2679.383305031021,2692.861286585671",10.png,1,container
"1191.45572200086,796.0145975590145,1207.894337508165,844.7940520409564,950.6443962918247,931.4869623624057,934.2057807845198,882.7075078804638",10.png,1,container
"1086.840075534273,1759.9822398695044,1105.7796175487724,1812.5204642327722,809.1701381248029,1919.4454272579158,790.2305961103034,1866.907202894648",11.png,1,container
"1351.364083208014,1073.1982321600397,1378.163759140838,1121.3168283618947,1123.6446119795569,1263.0713931461044,1096.844936046733,1214.9527969442493",11.png,1,container
"1108.3930417868964,1040.9100834757933,1131.4620602668767,1099.8642418158754,697.0335678929673,1269.8579996945286,673.964549412987,1210.9038413544465",12.png,1,container
"2567.110579797285,380.9113011347292,2592.1593307073585,429.8515395658052,2306.8105994720427,575.8996488590417,2281.761848561969,526.9594104279657",12.png,1,container
"2141.0299431230937,915.7163592096215,2177.133912737343,966.7776689637826,1935.102059715826,1137.9113650879233,1898.998090101577,1086.8500553337622",13.png,1,container
"181.1526678437308,4.255520110140964,213.09603883544162,43.10892144812894,15.09169694712044,205.89843106885147,-16.851674044590354,167.0450297308635",14.png,1,container
"2900.8871164426346,2722.008976001466,2939.8639963630085,2751.6174361142616,2784.4719625472753,2956.1770997896137,2745.4950826269014,2926.5686396768183",15.png,1,container
"2849.806445597437,2724.0974170965924,2885.1817624540495,2750.500733300674,2748.385109987686,2933.7816851522225,2713.0097931310734,2907.378368948141",15.png,1,container
"2815.1337118463807,2695.3154058879413,2854.8905309604156,2724.98897377685,2716.8702831872115,2909.9093057482746,2677.1134640731766,2880.235737859366",15.png,1,container
"2882.9259479636817,2408.1432952270093,2892.216034784144,2386.8673374639034,2997.1271014811105,2432.6764582045093,2987.837014660648,2453.9524159676153",15.png,4,maritime vessels
"525.6725244434231,2259.492537687688,533.8740813295694,2303.8774337808145,243.2807700150813,2357.574023910908,235.07921312893498,2313.189127817782",16.png,1,container
"581.6546054738787,2286.602798318176,591.2124094395595,2338.327384489343,278.2793167281602,2396.151977703333,268.7215127624795,2344.4273915321664",16.png,1,container
"1570.510778972954,1900.5488917817481,1603.144581817205,1966.370449250008,1183.115014784556,2174.61775615868,1150.481211940305,2108.7961986904206",16.png,1,container
"2877.7106499920137,1560.388615751455,2930.787982691394,1527.5288731683938,3032.2902672744767,1691.4823951701349,2979.2129345750964,1724.342137753196",16.png,4,maritime vessels
"113.77940055362699,2175.5365224722464,153.96944622327823,2163.183737874696,213.87836849348975,2358.0986821971983,173.68832282383852,2370.4514667947487",16.png,1,container
"47.70398615315516,2146.9052928103692,102.67992012383175,2130.0079278267376,184.1610172554216,2395.1083988234795,129.185083284745,2412.005763807111",16.png,1,container
"388.3097587153102,1334.3097270618832,431.4365715780792,1289.8883965602763,654.2353145588891,1506.19438258305,611.10850169612,1550.6157130846568",17.png,1,container
"416.5822929696973,1297.314235608751,460.36378555705477,1252.218574163395,657.0309060146188,1443.1544602446602,613.2494134272614,1488.2501216900162",17.png,1,container
"201.3096518794889,1455.2408420670438,245.64239060023317,1438.4133238593226,319.22185998951613,1632.2612431650557,274.8891212687719,1649.0887613727768",17.png,1,container
"1101.9228884260378,739.7063724740834,1112.1173629314958,755.0977558556517,1021.5961071767665,815.0544609234188,1011.4016326713086,799.6630775418505",17.png,4,maritime vessels
"1113.844750589859,754.144325757846,1124.4469258081774,770.1512463084189,1035.9804955866089,828.7469387893605,1025.3783203682904,812.7400182387876",17.png,4,maritime vessels
"193.30462996891004,1431.8767085964103,210.9498134108429,1474.5525029407047,-24.93261391638373,1572.0829359383458,-42.57779735831659,1529.4071415940514",17.png,4,maritime vessels
"1271.8700637633153,374.8504909959147,1287.37414252359,359.52784344069966,1344.7012008256245,417.53369548466344,1329.1971220653497,432.8563430398785",17.png,4,maritime vessels
"1279.576322215557,442.2755521349652,1296.2498268179786,428.23439011822023,1348.782426712119,490.61544840011743,1332.1089221096975,504.6566104168624",17.png,4,maritime vessels
"1289.8321045418545,622.1306031000861,1306.5056091400215,608.089441086924,1371.2605616347735,684.9842164027593,1354.5870570366064,699.0253784159214",17.png,4,maritime vessels
"1280.4021170919914,637.5450057745226,1297.0756216891862,623.5038437621794,1356.337799491288,693.8760959414861,1339.6642948940932,707.9172579538293",17.png,4,maritime vessels
"1310.8682304447432,619.5917602860031,1326.4527378199662,606.4676692071018,1389.688696601286,681.5586800879314,1374.104189226063,694.6827711668327",17.png,4,maritime vessels
"219.2963992634805,1394.3216705154218,239.73764121346875,1378.3037792835107,306.8467955771038,1463.94516874889,286.4055536271156,1479.963059980801",17.png,4,maritime vessels
"1444.8271673986303,1473.8007584841391,1452.9953307560438,1528.536963192676,1139.4073092765382,1575.3330134488467,1131.2391459191247,1520.5968087403098",18.png,1,container
"1928.4678178881434,1321.364779608888,1934.1175419242416,1358.2617785963112,1741.819397721524,1387.7067599556212,1736.1696736854258,1350.8097609681981",18.png,1,container
"431.82893218453614,1661.945489339834,486.5583462320971,1648.3291001873927,538.7183388399851,1857.9798233119602,483.98892479242414,1871.5962124644016",18.png,1,container
"1849.66075506097,1427.5507921984595,1855.0335623182552,1462.6393138085493,1619.3904468024791,1498.721342434355,1614.0176395451938,1463.632820824265",18.png,1,container
"1919.7580393459434,1468.7591943096759,1927.9990734407772,1526.7534666802103,1500.487397153905,1587.5032296517984,1492.2463630590712,1529.508957281264",18.png,1,container
"520.9292162150491,1647.9833283276337,580.3405547362581,1632.6385012411479,643.9484724128265,1878.9124741189528,584.5371338916175,1894.2573012054386",18.png,1,container
"588.6980343632945,1578.5230092647978,603.6686302791467,1599.0199366890172,534.0852068239969,1649.8424474697206,519.1146109081448,1629.3455200455012",18.png,4,maritime vessels
"685.4450436121581,1129.6540999675904,732.0211522745329,1116.4749735033608,795.06605650714,1339.28081106147,748.4899478447652,1352.4599375256996",18.png,1,container
"685.8222643246332,1609.6388214031008,688.232686554156,1627.5663367438185,608.7368519232281,1638.254852319295,606.3264296937053,1620.3273369785773",18.png,4,maritime vessels
"675.6149268735344,1558.7425740164106,677.9813149444856,1576.3425853025947,599.1767388907583,1586.9381585484082,596.8103508198071,1569.338147262224",18.png,4,maritime vessels
"682.0658579254625,1590.311280374727,684.761021893768,1608.0993625637502,604.7258358851784,1620.2259058996071,602.030671916873,1602.4378237105839",18.png,4,maritime vessels
"679.0436315759567,1574.4027239907955,681.4581853994263,1590.3387792240887,602.0403417233659,1602.3717858428863,599.6257878998964,1586.435730609593",18.png,4,maritime vessels
"955.5495067989449,1375.8738304125618,976.1579076381729,1372.5401185143508,987.0332916454064,1439.7697651499402,966.4248908061784,1443.1034770481513",18.png,4,maritime vessels
"931.7816408200252,1442.3925726900773,951.967254337909,1440.5292852892185,957.428878882305,1499.6968845453237,937.2432653644212,1501.5601719461824",18.png,4,maritime vessels
"952.947420462618,1513.045664712983,955.6235251837683,1534.5953500985627,838.8642476021984,1549.0948682299606,836.1881428810481,1527.5451828443809",18.png,4,maritime vessels
"707.9307246840903,2175.753687282474,713.3492647788521,2130.2522183065657,1050.9597139754665,2170.4565412999846,1045.5411738807047,2215.958010275893",19.png,1,container
"2082.2907428710655,2127.4254020125354,2110.1404685096363,2060.600056088893,2455.7602859579333,2204.6384738201905,2427.9105603193625,2271.463819743833",19.png,1,container
"1483.3181376230646,1404.9475467263442,1556.879150203055,1372.269117084331,1711.8515159408412,1721.1207684786127,1638.2905033608508,1753.799198120626",19.png,1,container
"701.7498154230841,447.2213263496982,716.8934177129534,487.0185299415689,467.77135007962096,581.8142736967835,452.62774778975177,542.0170701049128",20.png,2,oil tanker
"880.2184035777052,1795.3106481123887,892.8843754625682,1848.4653167758643,596.4989593818075,1919.089580675036,583.8329874969445,1865.9349120115603",20.png,1,container
"1224.1516266505628,2559.757766997762,1236.2396677282766,2608.527632969985,943.3820645286302,2681.1149708030316,931.2940234509163,2632.3451048308084",20.png,1,container
"2637.3842812017047,2251.9521359218625,2656.3493981905617,2291.8698002796227,2410.0370709949293,2408.8942348556566,2391.0719540060722,2368.9765704978963",20.png,1,container
"2878.0755008187793,311.31043070307527,2905.712311758235,360.97357216576114,2611.3888998192465,524.7602407341383,2583.752088879791,475.09709927145246",20.png,1,container
"1377.1846997397708,1128.639208775135,1394.6122208110294,1178.372212229359,1102.035591618928,1280.8973970373977,1084.6080705476695,1231.1643935831737",21.png,1,container
"3066.177285322009,1339.1246451155607,3072.210842518266,1392.6253280755332,2752.3616666520547,1428.6964245549602,2746.328109455798,1375.1957415949878",22.png,1,container
"212.34999140441755,2083.2366889419827,235.3189417822302,2127.855764577731,-15.23532720916775,2256.835768968538,-38.204277586980396,2212.21669333279",23.png,1,container
"2267.201010122145,95.1590607354934,2283.1044875703074,146.10754847243373,2012.5799916437045,230.55127607349678,1996.676514195542,179.60278833655644",23.png,1,container
"1313.68655016055,190.82399054100125,1325.1761682195065,231.1091300117305,1097.4897233446388,296.0469786373921,1086.0001052856824,255.76183916666284",23.png,1,container
"872.7618816816668,2665.6164363208354,887.5231062783633,2716.1773943813837,554.5802154678375,2813.37976114117,539.818990871141,2762.818803080622",24.png,1,container
"2097.967179695928,354.68832083653234,2100.434267288727,432.46573077184246,1523.685807770495,450.7601040330084,1521.218720177696,372.9826940976983",25.png,1,container
"2925.8665868114385,2521.536443421557,2969.315763197595,2554.4018460725074,2831.7488279746085,2736.2699977238826,2788.299651588452,2703.4045950729324",27.png,1,container
"2775.2141368516227,2714.042284451094,2815.6064284941763,2744.5954281293275,2662.4593218479326,2947.0610945437256,2622.067030205379,2916.507950865492",27.png,1,container
"2222.376257174067,2308.971257434958,2266.9027513280757,2312.240288262471,2251.5947806509457,2520.7455923814487,2207.068286496937,2517.4765615539354",27.png,1,container
"2225.1942041433367,1993.4609130611627,2284.515927120552,1996.6511801431889,2269.780631619785,2270.6480259272466,2210.4589086425694,2267.4577588452203",27.png,1,container
"2818.037273302592,2265.482657902598,2822.0598464621053,2242.1518863743213,2910.410547214144,2257.3848655768556,2906.387974054631,2280.7156371051324",27.png,4,maritime vessels
"901.2320158688265,2118.586153982342,911.331560436918,2139.9424826017794,804.9138616530224,2190.268093845816,794.8143170849308,2168.9117652263785",28.png,4,maritime vessels
"295.67157006733726,2297.976144200477,300.1940936209529,2320.588761964138,198.34821601002875,2340.957937490302,193.8256924564131,2318.345319726641",28.png,4,maritime vessels
"118.07090067482591,2222.8907535125854,151.21876875452173,2210.0593207027773,209.0553307688822,2359.4704391843934,175.90746268918636,2372.3018719942015",28.png,1,container
"858.0182887090555,1809.6688577395291,883.0388743357878,1862.9017442831755,643.054238754838,1975.6996125469993,618.0336531281057,1922.466726003353",29.png,1,container
"1068.5460094176178,2541.92296594823,1098.243903868015,2618.855565030093,803.6107544146453,2732.591280168788,773.9128599642481,2655.658681086925",29.png,1,container
"1090.3183152540194,736.3830149199096,1101.4295416249997,754.7459360182484,1006.8928933212038,811.9491497134948,995.7816669502236,793.586228615156",29.png,4,maritime vessels
"1102.194694890733,748.9217183400049,1114.820097741452,769.7870367703811,1021.7789333151183,826.0853476014456,1009.1535304643992,805.2200291710694",29.png,4,maritime vessels
"930.8087546883124,764.1594979817124,946.9352863923496,753.3530592096295,993.207594834059,822.405581029487,977.0810631300219,833.21201980157",29.png,4,maritime vessels
"1201.809697808747,670.5395716937584,1217.213081601169,654.6953936885445,1284.674345822301,720.2798464495608,1269.2709620298788,736.1240244547746",29.png,4,maritime vessels
"1216.1777602537895,656.6268612109591,1229.4497540543236,642.9750665732631,1297.6424631367317,709.2706149756893,1284.3704693361976,722.9224096133853",29.png,4,maritime vessels
"140.13369256998013,1453.682601217463,173.74049380698142,1398.661087947303,351.655399257466,1507.330415801232,318.0485980204647,1562.3519290713919",29.png,1,container
"945.2440019890867,754.3607315256137,960.2914821816051,744.2773685087615,1007.2896136601182,814.4130416295615,992.2421334675997,824.4964046464137",29.png,4,maritime vessels
"227.3183160409411,1420.9213178854188,237.18390987161976,1403.0675897237134,315.4663073307871,1446.3247923891158,305.60071350010844,1464.1785205508213",29.png,4,maritime vessels
"208.22879322396923,1430.092024314635,218.0943870546479,1412.2382961529293,300.8370023819784,1457.9601211921624,290.97140855129976,1475.8138493538681",29.png,4,maritime vessels
"1151.6712539174487,402.6855017177002,1165.3415363221898,391.2142708152858,1212.599460613138,447.5316073256292,1198.929178208397,459.00283822804363",29.png,4,maritime vessels
"1198.335678228965,452.53313819696655,1212.0013418409958,441.06578309141554,1258.124329181226,496.0306136013239,1244.458665569195,507.49796870687493",29.png,4,maritime vessels
"1256.2701022146027,417.20879423506653,1270.4954935701317,406.92217772244936,1312.9877865014826,465.6848909820344,1298.7623951459536,475.9715074946516",29.png,4,maritime vessels
"147.1534837598307,1433.1530837804914,164.68983244075363,1472.296719228161,-23.03174313925831,1556.395985089766,-40.56809182018125,1517.2523496420965",29.png,4,maritime vessels
"185.0222766068286,1461.5726138098098,202.39420678947002,1500.3492436809659,-12.117871685287753,1596.4506548396685,-29.489801867929174,1557.6740249685124",29.png,4,maritime vessels
"1360.4444139859795,1862.0010359310033,1362.8241368759907,1837.886510642348,1489.7683527791862,1850.4139003679704,1487.388629889175,1874.5284256566258",30.png,4,maritime vessels
"1389.641437219119,1824.4481428534311,1391.872654686678,1801.7931447583476,1538.93639999416,1816.2769772441204,1536.705182526601,1838.931975339204",30.png,4,maritime vessels
"1404.3943760465652,1735.8339578538871,1407.5393768783028,1702.3825853687856,1529.7004975333214,1713.8678189339298,1526.5554967015837,1747.3191914190313",30.png,4,maritime vessels
"1949.1240863524495,1436.5773866479956,1976.1304174600807,1441.3199270444075,1951.4633713716225,1581.7860819802975,1924.4570402639913,1577.0435415838856",30.png,4,maritime vessels
"1599.7408527171372,1370.4053476900162,1605.5279293613507,1405.879375950812,1410.5903320974523,1437.6806365212606,1404.8032554532388,1402.206608260465",31.png,1,container
"1700.2420213713162,1225.8690744396893,1728.5468448725785,1218.412427387867,1758.9919960454877,1333.9797359153442,1730.6871725442254,1341.4363829671665",31.png,4,maritime vessels
"415.7493840491883,1646.3799793745686,471.8467606209404,1632.6817827694183,536.8583902400729,1898.9198850110322,480.7610136683208,1912.6180816161825",31.png,1,container
"1533.3130079680832,1226.3743867663613,1536.9939142785863,1248.2144308739555,1440.0304837467138,1264.5565820882332,1436.3495774362107,1242.716537980639",31.png,4,maritime vessels
"511.85985441419854,1642.0468046192777,532.2348747656513,1637.07150895191,554.0599541406392,1726.4504054372142,533.6849337891865,1731.425701104582",31.png,4,maritime vessels
"1853.8125771056084,1462.5462420209506,1861.3051437172076,1512.0540348844877,1598.6033354501042,1551.8116302766766,1591.110768838505,1502.3038374131395",31.png,1,container
"933.1336842247217,1712.4593486357653,955.4928614162076,1760.1291135010697,651.0605448026329,1902.9210095637181,628.701367611147,1855.2512446984138",32.png,1,container
"1364.935452657576,2315.702825852977,1411.5243689232889,2359.3464715330365,1247.457441706819,2534.4853769786296,1200.8685254411062,2490.8417312985703",32.png,1,container
"2804.6647656687433,1494.1009352459516,2818.495280453353,1561.2556761356545,2483.3288380280087,1630.2831844821228,2469.4983232433988,1563.12844359242",32.png,1,container
"1262.052480313843,1452.5420737230359,1270.5176743800077,1527.030239047526,969.0902099830894,1561.2859086814371,960.6250159169246,1486.797743356947",33.png,1,container
"1796.475757338598,2324.789160051384,1812.945457135056,2384.079890829166,1535.3951190684963,2461.1774520566387,1518.9254192720384,2401.886721278857",33.png,1,container
"932.7114242359239,372.83935495512105,956.2971900447752,436.59114801040937,563.0653175832813,582.0721518844412,539.47955177443,518.3203588291528",34.png,1,container
"1121.9769858702516,1402.4176157823915,1129.7898854687528,1437.4492567517507,979.536715607604,1470.959332157823,971.723816009103,1435.9276911884638",34.png,1,container
"533.3987524027013,1024.5514359355623,556.6117755167413,1082.112520411286,288.3889807487887,1190.2804257134665,265.1759576347487,1132.7193412377428",34.png,1,container
"2115.648317422833,109.91124475237999,2125.5358713395185,-1.2464962130044768,2651.652843742207,45.55195332309117,2641.7652898255214,156.70969428847565",35.png,1,container
"1571.706926330982,436.53943396513,1573.0633301757953,384.060538889369,1848.2194100732015,391.1724028902738,1846.8630062283883,443.6512979660348",36.png,1,container
"1639.623024154809,1246.9824237743665,1652.0306361907828,1294.1949713817305,1394.3669029318874,1361.9098438051446,1381.9592908959135,1314.6972961977806",39.png,1,container
"1287.3853689498023,2465.560221154417,1304.3958165355327,2564.4678884796417,736.9206457439245,2662.064029506943,719.9101981581941,2563.156362181718",39.png,1,container
"2251.4973431207263,86.40290434795622,2267.90849934896,144.66285839881638,1953.683807997001,233.17632505970016,1937.2726517687674,174.91637100884",39.png,1,container
"232.56764824722273,354.4039049264521,264.03045338595325,351.0970308530329,272.8729498992724,435.2277653659438,241.41014476054187,438.53463943936305",39.png,4,maritime vessels
"1041.6900853153195,2410.950156526311,1074.5554348694332,2396.602281765447,1117.358004846658,2494.64616962771,1084.4926552925444,2508.994044388574",40.png,4,maritime vessels
"1316.0044393832484,2720.5225018828733,1347.0552073775834,2715.5804877549485,1363.4091631091017,2818.332700125142,1332.3583951147666,2823.2747142530666",40.png,4,maritime vessels
